"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"28826","tribe","Eriopygini","Fibiger & Lafontaine, 2005","","","1;2;3;5","",""
"28825","genus","Eriopygodes","Hampson, 1905","","","1;2;3;5","",""
"28824","class","Arachnida","","","","1;2;3;4;5","",""
"28823","order","Araneae","","","Spiders;Пауци;Pauci;Pauci;Pauci;Pauci","1;4;5","",""
"28822","subphylum","Chelicerata","","","","1;2;3;4;5","",""
"28821","species","Fagus moesiaca","(K. Malý) Czecz.","","","","13","Fagus × moesiaca;Fagus sylvatica subsp. moesiaca"
"28820","subspecies","Rumex obtusifolius silvestris","Čelak.","","","","13","Rumex obtusifolius subsp. sylvestris"
"28819","species","Rumex nebroides","Campd.","","","","13",""
"28818","subspecies","Rumex acetosella angiocarpus","(Murb.) Murb.","","","","13",""
"28817","subspecies","Dactylis glomerata hispanica","(Roth) Nyman","",";;;Oštrica;;","","13",""
"28816","species","Phalaris minor","Retz.","","","","13",""
"28815","subspecies","Erigeron acris droebachiensis","(O. F. Müll.) Arcang.","","","","13",""
"28814","subspecies","Stellaria nemorum montana","(Pierrat) Berher","",";Планинска мишјакиња;;;;","","13","Stellaria nemorum subsp. glochidisperma;Stellaria glochidiosperma"
"28813","subspecies","Corydalis solida solida","","","","","13","Corydalis solida subsp. slivenensis"
"28812","subspecies","Corydalis blanda blanda","","","","","",""
"28811","subspecies","Corydalis solida incisa","Lidén","","","","13",""
"28810","species","Eclipta prostrata","(L.) L.","","","","13",""
"28809","genus","Eclipta","L.","","","","13",""
"28808","species","Ficaria calthifolia","Rchb.","","","","13","Ficaria verna subsp. calthifolia;Ficaria pumila"
"28807","species","Anemone hortensis","L.","",";Звездаста шумарица;;Vrtna šumarica;;","","13",""
"28806","species","Anemone baldensis","L.","","","","13",""
"28805","subspecies","Stachys recta baldaccii","(K.Malý) Hayek","",";Панчићев чистац;;;;","","13","Stachys chrysophaea"
"28804","species","Linaria concolor","Griseb.","","","","13",""
"28803","species","Koeleria subcaudata","(Asch. et Graebn.) Ujhelyi","","","","13",""
"28802","species","Koeleria splendens","C. Presl","","","","13",""
"28801","species","Koeleria australis","A.Kern.","","","","13",""
"28800","subspecies","Cerastium brachypetalum tenoreanum","(Ser.) Soó","","","","13",""
"28799","subspecies","Cerastium decalvans decalvans","","",";Дурмиторски рошац;;;;","","13","Cerastium decalvans subsp. dollineri;Cerastium decalvans durmitoreum"
"28798","subspecies","Cerastium brachypetalum roeseri","(Boiss. & Heldr.) Nyman","","","","13",""
"28797","species","Cerastium cerastoides","(L.) Britton","","","","13",""
"28796","subspecies","Cerastium ligusticum trichogynum","(Möschl) P.D.Sell & Whitehead","","","","13",""
"28795","species","Cerastium ligusticum","Viv.","",";;;Zvončasti rožac;;","","13",""
"28794","subspecies","Trifolium medium balcanicum","Velen.","",";Балканска детелина;;;;","","13",""
"28793","subspecies","Heracleum sphondylium orsinii","(Guss.) H.Neumayer","",";;;Balkanska šapika;;","","13","Heracleum orsinii"
"28792","species","Salix eleagnos","Scop.","","","","13","Salix incana"
"28791","subspecies","Acer heldreichii macropterum","(Vis.) Pax","","","","13",""
"28790","subspecies","Cerastium fontanum vulgare","(Hartm.) Greuter & Burdet","",";;;Šušnjavorubi rožac;;","","13","Cerastium fontanum subsp. balcanum;Cerastium glandulosum"
"28789","genus","Nectaroscilla","Parl.","","","","13",""
"28788","species","Edraianthus serpyllifolius","(Vis.) A. DC.","",";;;Puzavo zvonce, lopatolisno zvonce;Modro zvonce;Puzavo zvonce","","","Edraianthus serpyllifolius subsp. thymifolius"
"28787","species","Edraianthus dinaricus","(A. Kern.) Wettst.","","","","13",""
"28786","species","Edraianthus dalmaticus","(A. DC.) A. DC.","",";;;Dalmatinsko zvonce, dalmatinska vrčica;Dalmatinsko zvonce;","","",""
"28785","species","Campanula portenschlagiana","Schult.","",";;;Portenšlagov zvončić;;","","",""
"28784","species","Campanula erinus","L.","",";;;Sitnocvjetni zvončić;;","","",""
"28783","species","Campanula carnica","Mert. et W. D. J. Koch","",";;;Lanolisni zvončić;;","","13",""
"28782","species","Campanula austroadriatica","D. Lakušić et Kovačić","",";;;Južnojadranski zvončić;;","","",""
"28781","species","Campanula garganica","Ten.","",";;;Prozorski zvončić (istarski zvončić);;","","13","Campanula fenestrellata;Campanula istriaca;Campanula garganica subsp. fenestrellata"
"28780","species","Succisella petteri","(Jos. Kern. & Murb.) Beck","",";Петеров прескоч;;Peterova preskočica;Peterova preskočica;Peterova preskočica","","","Succisa petteri"
"28779","subspecies","Scabiosa taygetea portae","(Huter) Kokkini","","","","13","Scabiosa portae"
"28778","species","Scabiosa taygetea","Boiss. & Heldr.","","","","13",""
"28777","subspecies","Scabiosa cinerea hladnikiana","(Host) Jasiewicz","",";;;Hladnikova zvjezdoglavka;;","","","Scabiosa hladnikiana"
"28776","species","Scabiosa triandra","L.","","","","13",""
"28775","species","Knautia purpurea","(Vill.) Borbás","",";Пурпурна прженица;;Crvena prženica;;","","","Scabiosa arvensis var. purpurea"
"28774","species","Knautia albanica","Briq.","","","","",""
"28773","species","Knautia visianii","Szabó","",";;;Visianijeva prženica;;","","","Knautia purpurea var. montenegrina"
"28772","species","Viburnum maculatum","Pantocsek","",";;;;Orjenska hudika;Orjenska hudika","","",""
"28771","subspecies","Veronica spicata hybrida","(L.) E. F. Warb.","","","","13","Veronica spicata subsp. glandulifera"
"28770","subspecies","Veronica spicata fischeri","(Trávn.) Albach","","","","13",""
"28769","subspecies","Veronica serpyllifolia humifusa","(Dicks.) Syme","","","","13","Veronica alpina subsp. apennina"
"28768","species","Veronica dalmatica","Padilla-García & al.","","","","13",""
"28767","species","Stachys beckeana","Dörfl. & Hayek","","","","",""
"28766","subspecies","Noccaea dacica montenegrina","F. K. Mey.","","","","13",""
"28765","subspecies","Hieracium sparsum schuettianum","Zahn","","","","13","Hieracium schuettianum"
"28764","species","Hieracium oroglaucum","O. Behr & al.","","","","13",""
"28763","subspecies","Hieracium waldsteinii delpinoi","(Bald.) Zahn","","","","13","Hieracium delpinoi"
"28762","subspecies","Amphoricarpos autariatus bertisceus","Blečić & E. Mayer","","","","13",""
"28761","species","Carex lazarei","Jac. Koopman & al.","","","","13",""
"28760","genus","Cleistogenes","Keng","","","","13",""
"28759","species","Agrostis gigantea","Roth","",";;;Bijela rosulja;;","","13","Agrostis nigra"
"28758","species","Noccaea viridisepala","(Podp.) F. K. Mey.","",";Честика;;;;Čestika","","13",""
"28757","species","Poa laxa","Haenke","","","","13",""
"28756","genus","Sison","L.","","","","13",""
"28755","species","Rosa subcollina","(Christ) Vuk.","","","","13",""
"28754","species","Rosa sempervirens","L.","",";;;Zimzelena ruža, rusa bela, šipkovina;;","","","Rosa × alba;Rosa arvensis × Rosa gallica"
"28753","species","Polypodium cambricum","L.","",";;;Južnjačka oslad;;Primorska oslad","","","Polypodium australe"
"28752","species","Allosorus pteridioides","","","","","11","Cheilanthes pteridioides"
"28751","genus","Allosorus","Bernh.","","","","11",""
"28750","species","Pilularia minuta","Durieu","","","","11",""
"28749","speciescomplex","Polystichum wirtgenii","Hahne","","Wirtgen's hollyfern;Виртгенова (хибридна) папрат;;Wirtgenova papratnjača;;","","11","Polystichum braunii × Polystichum setiferum"
"28748","speciescomplex","Polystichum illyricum","Hahne","","Hybrid holly-fern;Бастардна папрат;;Ilirska papratnjača;;","","11","Polystichum × illyricum;Polystichum lonchitis × Polystichum aculeatum;Dryopteris illyrica;Aspidium murbeckii"
"28747","species","Pseudochorthippus montanus","(Charpentier, 1825)","","","1;2;3;5","",""
"28746","speciescomplex","Chorthippus biguttulus complex","","","","1;2;3;5","",""
"28745","species","Chorthippus maritimus","Mistshenko, 1951","","","1;2;3;5","",""
"28744","subspecies","Chorthippus mollis lesinensis","(Krauss, 1888)","","","1;2;5","",""
"28743","subspecies","Chorthippus mollis mollis","(Charpentier, 1825)","","","1;2;5","",""
"28742","species","Dociostaurus genei","(Ocskay, 1833)","","","1;2;3;5","",""
"28741","species","Arcyptera brevipennis","(Brunner von Wattenwyl, 1861)","","","1;2;3;5","",""
"28740","species","Acrotylus patruelis","(Herrich-Schäffer, 1838)","","","1;2;3;5","",""
"28739","species","Oedipoda miniata","(Pallas, 1771)","","","1;2;3;5","",""
"28738","species","Oedipoda meridionalis","Ramme, 1913","","","1;2;3;5","",""
"28737","subspecies","Tropidopola graeca graeca","Uvarov, 1926","","","1;2;3;5","",""
"28736","species","Tropidopola graeca","Uvarov, 1926","","","1;2;3;5","",""
"28735","genus","Tropidopola","","","","1;2;3;5","",""
"28734","tribe","Tropidopolini","","","","1;2;3;5","",""
"28733","subfamily","Tropidopolinae","","","","1;2;3;5","",""
"28732","species","Schistocerca gregaria","(Forskål, 1775)","","","1;2;3;5","",""
"28731","genus","Schistocerca","","","","1;2;3;5","",""
"28730","species","Paracaloptenus cristatus","Willemse, 1973","","","1;2;3;5","",""
"28729","species","Miramella demissa","Mulder, 2023","","","1;2;3;5","",""
"28728","species","Trigonidium cicindeloides","Rambur, 1838","","","1;2;3;5","",""
"28727","genus","Trigonidium","","","","1;2;3;5","",""
"28726","species","Mogoplistes brunneus","Serville, 1838","","","1;2;3;5","",""
"28725","genus","Mogoplistes","","","","1;2;3;5","",""
"28724","species","Arachnocephalus vestitus","Costa, 1855","","","1;2;3;5","",""
"28723","family","Mogoplistidae","","","","1;2;3;5","",""
"28722","subfamily","Mogoplistinae","","","","1;2;3;5","",""
"28721","genus","Arachnocephalus","","","","1;2;3;5","",""
"28720","species","Oecanthus dulcisonans","Gorochov, 1993","","","1;2;3;5","",""
"28719","species","Natula averni","(Costa, 1855)","","","1;2;3;5","",""
"28718","genus","Natula","","","","1;2;3;5","",""
"28717","tribe","Trigonidiini","","","","1;2;3;5","",""
"28716","subfamily","Trigonidiinae","","","","1;2;3;5","",""
"28715","species","Ovaliptila willemsei","(Karaman, 1975)","","","1;2;3;5","",""
"28714","genus","Ovaliptila","","","","1;2;3;5","",""
"28713","tribe","Petaloptilini","","","","1;2;3;5","",""
"28712","species","Gryllomorpha dalmatina","(Ocskay, 1833)","","","1;2;3;5","",""
"28711","subfamily","Gryllomorphinae","","","","1;2;3;5","",""
