"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"18601","subspecies","Leucopoa spectabilis carniolica","(Hack.) H.Scholz & Foggi","","","","38","Festuca carniolica"
"18600","subspecies","Leucopoa spectabilis croatica","(A.Kern.) Foggi, Parolo, Gr.Rossi, Ardenghi & Quercioli","","","","38","Festuca croatica"
"18599","subspecies","Leucopoa spectabilis affinis","(Hack.) H.Scholz & Foggi","",";;;Susjedna vlasulja;;","","38","Festuca spectabilis subsp. affinis"
"18598","species","Leucopoa spectabilis","(Bertol.) H.Scholz & Foggi","",";;;Naočita vlasulja;;","","38","Festuca spectabilis;Festuca sieberi"
"18597","tribe","Poeae","","","","","38",""
"18596","genus","Leucopoa","","","","","38",""
"18595","species","Festuca pulchella","Schrad.","","","","38","Leucopoa pulchella"
"18594","subspecies","Festuca violacea italica","Foggi & al.","","","","38","Festuca nitida subsp. macrathera;Festuca macrathera"
"18593","species","Festuca nitida","Schult.","",";;;Sjajna vlasulja;;","","38",""
"18592","subspecies","Festuca rubra rubra","","",";Зечји брк;;;;","","38","Festuca duriuscula"
"18591","species","Festuca lapidosa","(Hack.) Markgr.-Dann.","","","","38",""
"18590","species","Festuca illyrica","Markgr.-Dann.","",";;;Ilirska vlasulja;;","","38",""
"18589","species","Festuca hercegovinica","Markgr.-Dann.","",";;;Hercegovačka vlasulja;;","","38",""
"18588","species","Festuca filiformis","Pourr.","","","","38","Festuca tenuifolia;Festuca paludosa"
"18587","subspecies","Festuca amethystina kummeri","(Beck) Markgr.-Dann.","","","","38","Festuca heterophylla var. mutica"
"18586","species","Galerucella lineola","(Fabricius, 1781)","","","1;2;3;5","17",""
"18585","genus","Galerucella","","","","1;2;3;5","17",""
"18584","species","Polygonum maritimum","L.","","","","38",""
"18583","subspecies","Persicaria lapathifolia lapathifolia","","",";Лисац, дворник;;Lisac;;","","38","Polygonum lapathifolium subsp. lapathifolium;Polygonum nodosum"
"18582","species","Fagopyrum esculentum","Moench","","","","38",""
"18581","genus","Fagopyrum","Mill.","","","","38",""
"18580","genus","Cercis","","","","","38",""
"18579","species","Anthrenus museorum","(Linnaeus, 1761)","","","1;2;3;5","17",""
"18578","species","Ptinus fur","(Linnaeus, 1758)","","","1;2;3;5","17",""
"18577","subfamily","Ptininae","","","","1;2;3;5","17",""
"18576","genus","Ptinus","","","","1;2;3;5","17",""
"18575","species","Allium neapolitanum","Cirillo","","","","38",""
"18574","species","Allium dinaricum","Bogdanović & al.","","","","38",""
"18573","species","Allium chamaemoly","L.","","","","38",""
"18572","genus","Othocallis","","","","","38",""
"18571","subspecies","Narcissus tazetta italicus","(Ker Gawl.) Baker","","","","38","Narcissus tenuiflorus"
"18570","species","Narcissus serotinus","L.","","","","38",""
"18569","species","Narcissus tazetta","L.","","Polyanthus Narcissus;Вишецветни нарцис;;Mnogocvjetni sunovrat, sitnokruni sunovrat;;","","38","Narcissus polyanthus"
"18568","species","Narcissus papyraceus","Ker Gawl.","","","","38",""
"18567","genus","Chaenomeles","Lindl.","","","","38",""
"18566","subspecies","Galanthus reginae-olgae vernalis","Kamari","","","","38",""
"18565","subspecies","Crocus vernus fritschii","(Derganc) Govaerts","","","","38",""
"18564","species","Crataegus azarolus","L.","",";Аронија;Aronija;;;","","38","Mespilus aronia;Crataegus azarolus subsp. aronia"
"18563","genus","Cucurbita","L.","","","","38",""
"18562","subspecies","Thymus longicaulis longicaulis","","","","","38","Thymus rohlenae;Thymus malyi;Thymus lykae"
"18561","species","Limonium virgatum","(Willd.) Fourr.","","","","38",""
"18560","species","Limonium vestitum","(C. E. Salmon) C. E. Salmon","",";;;Maljava mrižica;;","","38",""
"18559","species","Limonium subanfractum","Trinajstić","","","","38",""
"18558","species","Limonium narbonense","Mill.","","","","38","Limonium serotinum"
"18557","species","Limonium cancellatum","(Bernh. ex Bertol.) Kuntze","",";;;Rešetkasta mrižica, savitljiva mrižica;;","","38","Limonium dictyophorum"
"18556","species","Limonium bellidifolium","(Gouan) Dumort.","","","","38",""
"18555","species","Cirsium alsophilum","(Pollini) Soldano","",";;;Brdski osjak, gorski osjak;;","","38","Cirsium montanum;Cnicus alsophyllus"
"18554","species","Carduus defloratus","L.","",";;;Bezlistni stričak;;","","38","Carduus viridis;Carduus argemone subsp. obtusisquamus"
"18553","genus","Yucca","","","","","38",""
"18552","subspecies","Luzula sylvatica sylvatica","","","","","38","Luzula sylvatica subsp. croatica"
"18551","subspecies","Luzula sylvatica sieberi","(Tausch) K.Richt.","","","","38",""
"18550","species","Luzula congesta","(Thuill.) Lej.","","","","38","Luzula multiflora subsp. congesta"
"18549","subspecies","Luzula luzuloides rubella","(Hoppe ex Mert. & W.D.J.Koch) Holub","","","","38",""
"18548","genus","Pontechium","Böhle & Hilger","","","","38",""
"18547","subspecies","Festuca stricta sulcata","(Hack.) Pils","",";Степска власуља, степски вијук;Stepska vlasulja;Izbrazdana vlasulja;Stepska vlasulja;Vijuk stepski","","38","Festuca rupicola;Festuca hirsuta;Festuca sulcata"
"18546","subspecies","Festuca stricta trachyphylla","(Hack.) Pils","",";;;Grubolisna vlasulja;;","","38","Festuca trachyphylla;Festuca brevipila"
"18545","species","Linaria microsepala","A.Kern.","",";;;Blijedoljubičasti lanilist;;","","38",""
"18544","speciescomplex","Salix × rubra","Huds.","","","","38","Salix viminalis × Salix purpurea"
"18543","species","Salix babylonica","L.","","Weeping willow;Жалосна врба;;Žalosna vrba;;","","38",""
"18542","subspecies","Melica ciliata magnolii","(Gren. et Godr.) K. Richt.","","","","38",""
"18541","subspecies","Melica ciliata glauca","(F. W. Schultz) K. Richt.","","","","38",""
"18540","species","Poa molinerii","Balbis","","","","38","Poa alpina subsp. xerophila;Poa badensis var. xerophila"
"18539","species","Poa remota","Forselles","",";;;Razmaknuta vlasnjača;;","","38",""
"18538","species","Hypericum spruneri","Boiss.","","","","38",""
"18537","subspecies","Hypericum richeri grisebachii","(Boiss.) Nyman","",";Трансилванијски кантарион;Transilvanijski kantarion;Pljuskavica velecvjetna, alpska pljuskavica;Gorska pljuskavica;Alpski kantarion","","38","Hypericum transsilvanicum;Hypericum balcanicum"
"18536","subspecies","Hypericum perforatum veronense","(Schrank) H.Lindb.","","","","38","Hypericum perforatum subsp. angustifolium"
"18535","subspecies","Hypericum perforatum perforatum","","",";;;Pljuskavica, gospino zelje;;","","38","Hypericum vulgare"
"18534","species","Hypericum dubium","Leers","","","","38","Hypericum maculatum subsp. obtusiusculum"
"18533","subspecies","Hypericum maculatum immaculatum","(Murb.) A.Fröhl.","","","","38",""
"18532","speciescomplex","Hypericum × desetangsii","Lamotte","","","","38","Hypericum maculatum × Hypericum perforatum"
"18531","species","Anisantha diandra","(Roth) Tutin","","","","38","Bromus diandrus"
"18530","species","Carex punctata","Gaudin","","","","38","Carex laevicaulis"
"18529","species","Carex parviflora","Host","","","","38",""
