"id","rank","name","author","uses_atlas_codes","translations","stages","groups","synonyms"
"510","species","Aeshna cyanea","(Müller, 1764)","","Blue Hawker;шумски краљевић;šumski kraljević;modri kralj;;","1;2;3;5","10",""
"509","species","Aeshna grandis","(Linnaeus, 1758)","","Brown Hawker;велики краљевић;veliki kraljević;veliki kralj;;","1;2;3;5","10",""
"508","species","Aeshna isoceles","(Müller, 1767)","","Green-eyed Hawker;риђи краљевић;riđi kraljević;žuti ban;;","1;2;3;5","10",""
"507","species","Aeshna affinis","Vander Linden, 1820","","Blue-eyed Hawker;пролећни краљевић;prolećni kraljević;sredozemni kralj;;","1;2;3;5","10",""
"506","species","Aeshna mixta","Latreille, 1805","","Migrant Hawker;јесењи краљевић;jesenji kraljević;jesenski kralj;;","1;2;3;5","10",""
"505","genus","Aeshna","","","","1;2;3;5","10",""
"504","family","Aeshnidae","","","","1;2;3;5","10",""
"503","suborder","Anisoptera","","","","1;2;3;5","10",""
"502","species","Platycnemis pennipes","(Pallas, 1771)","","Blue Featherleg;перонога девица;peronoga devica;bjelonoga potočnica;;","1;2;3;5","10",""
"501","genus","Platycnemis","","","","1;2;3;5","10",""
"500","family","Platycnemididae","","","","1;2;3;5","10",""
"499","species","Pyrrhosoma nymphula","(Sulzer, 1776)","","Large Red Damsel;огњена девица;ognjena devica;smaragdna crvenka;;","1;2;3;5","10",""
"498","genus","Pyrrhosoma","","","","1;2;3;5","10",""
"497","species","Erythromma lindenii","(Selys, 1840)","","Blue-eye;плава бистроока девица;plava bistrooka devica;;;","1;2;3;5","10",""
"496","species","Erythromma viridulum","(Charpentier, 1840)","","Small Redeye;велика бистроока девица;velika bistrooka devica;mala crvenookica;;","1;2;3;5","10",""
"495","species","Erythromma najas","(Hansemann, 1823)","","Large Redeye;мала бистроока девица;mala bistrooka devica;velika crvenookica;;","1;2;3;5","10",""
"494","genus","Erythromma","","","","1;2;3;5","10",""
"493","species","Coenagrion hastulatum","(Charpentier, 1825)","","Spearhead Bluet;горска плава девица;gorska plava devica;;planinski plavac;","1;2;3;5","10",""
"492","species","Coenagrion scitulum","(Rambur, 1842)","","Dainty Bluet;мала плава девица;mala plava devica;primorska vodendjevojčica;;","1;2;3;5","10",""
"491","species","Coenagrion ornatum","(Selys, 1850)","","Ornate Bluet;трозуба плава девица;trozuba plava devica;istočna vodendjevojčica;;","1;2;3;4;5","10",""
"490","species","Coenagrion puella","(Linnaeus, 1758)","","Azure Bluet;потковичаста плава девица;potkovičasta plava devica;modra vodendjevojčica;;","1;2;3;5","10",""
"489","species","Coenagrion pulchellum","(Vander Linden, 1825)","","Variable Bluet;пехараста плава девица;peharasta plava devica;ljupka vodendjevojčica;;","1;2;3;5","10",""
"488","genus","Coenagrion","","","","1;2;3;5","10",""
"487","species","Enallagma cyathigerum","(Charpentier, 1840)","","Common Bluet;плаветна девица;plavetna devica;plavetna kosjenka;;","1;2;3;5","10",""
"486","genus","Enallagma","","","","1;2;3;5","10",""
"485","species","Ischnura pumilio","(Charpentier, 1825)","","Small Bluetail;мала црнотрба девица;mala crnotrba devica;mala mora;;","1;2;3;5","10",""
