Kingdom,Subkingdom,Infrakingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,"Species Complex",Subspecies,ID,Author,"Taxon data is restricted","Taxon is allochthonous","Taxon is invasive","(old) FaunaEuropea ID","FaunaEuropea ID",Stages,"Conservation Legislations","Other Conservation Documents","Red Lists","Uses Atlas Codes","Native Name - Bosanski","Native Name - English","Native Name - Croatian","Native Name - Montenegrin","Native Name - Serbian (Cyrillic)","Native Name - Serbian (Latin)","Description - Bosanski","Description - English","Description - Croatian","Description - Montenegrin","Description - Serbian (Cyrillic)","Description - Serbian (Latin)"
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius stramineipes",,,12245,"(Hartig, 1837)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius sylvaticus",,,12244,"(Linnaeus, 1758)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius vafer",,,12243,"(Linnaeus, 1767)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius varius",,,12242,"(Serville, 1823)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius norimbergensis",,,12241,"Enslin, 1917",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius nemorum",,,12240,"(Gmelin, 1788)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius inanitus",,,12239,"(Villers, 1789)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius lethierryi",,,12238,"(Konow, 1887)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius maculosus",,,12237,"(Zaddach, 1866)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius betulae",,,12236,"(Linnaeus, 1758)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius hortorum",,,12235,"(Klug, 1808)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius aurantiacus",,,12234,"(Giraud, 1857)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius balteatus",,,12233,"(Fallen, 1808)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius alternans",,,12232,"(A. Costa, 1860)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
Animalia,,,Arthropoda,Hexapoda,Insecta,,Hymenoptera,Symphyta,,Pamphilioidea,Pamphiliidae,Pamphiliinae,,,Pamphilius,"Pamphilius gyllenhali",,,12231,"(Dahlbom, 1835)",No,No,No,,,"Egg; Larva; Pupa; Adult",,,,No,,,,,,,,,,,,
